NO	Lat	Location	Lon	Pl
377	25.06424	台北盆地	121.5031	0.22
378	24.99448	台北盆地	121.4919	0.23
379	25.04671	台北盆地	121.5592	0.24
380	25.03717	台北盆地	121.5803	0.29
381	25.00376	台北盆地	121.4519	0.45
382	25.00259	台北盆地	121.5123	0.47
383	25.04718	台北盆地	121.5103	0.48
384	25.0336	台北盆地	121.5014	0.49
385	25.00366	台北盆地	121.432	0.53
386	25.01821	台北盆地	121.4716	0.57
387	25.01289	台北盆地	121.504	0.59
388	25.06897	台北盆地	121.6352	0.59
389	25.02925	台北盆地	121.4918	0.61
390	25.01	台北盆地	121.4897	0.63
391	25.01133	台北盆地	121.4785	0.67
392	25.0514	台北盆地	121.4596	0.74
393	25.0249	台北盆地	121.4803	0.75
394	24.99702	台北盆地	121.4947	0.75
395	24.98187	台北盆地	121.561	0.75
396	25.00516	台北盆地	121.4131	0.83
397	24.98504	台北盆地	121.5703	0.84
398	25.03431	台北盆地	121.576	0.85
399	25.01003	台北盆地	121.5132	0.87
400	25.02834	台北盆地	121.5139	0.95
401	25.06477	台北盆地	121.4623	1.01
402	25.03668	台北盆地	121.4955	1.02
403	25.06232	台北盆地	121.4597	1.03
404	24.9908	台北盆地	121.4244	1.05
405	24.99456	台北盆地	121.4988	1.06
406	25.03837	台北盆地	121.4593	1.08
407	25.0146	台北盆地	121.4873	1.1
408	24.99996	台北盆地	121.4928	1.1
409	25.07558	台北盆地	121.5448	1.15
410	25.04699	台北盆地	121.5576	1.16
411	25.08152	台北盆地	121.4756	1.23
412	25.04679	台北盆地	121.5576	1.24
413	25.03059	台北盆地	121.5254	1.25
414	25.05889	台北盆地	121.6061	1.29
415	25.06853	台北盆地	121.4385	1.3
416	25.07609	台北盆地	121.4879	1.32
417	24.98137	台北盆地	121.4648	1.39
418	25.04795	台北盆地	121.5098	1.39
419	25.0476	台北盆地	121.5582	1.39
420	25.09601	台北盆地	121.5308	1.47
421	25.08982	台北盆地	121.4891	1.51
422	25.05929	台北盆地	121.46	1.52
423	25.04739	台北盆地	121.5576	1.52
424	25.08147	台北盆地	121.4776	1.57
425	24.9711	台北盆地	121.4456	1.62
426	25.09586	台北盆地	121.5309	1.62
427	24.99054	台北盆地	121.4259	1.64
428	25.0337	台北盆地	121.5009	1.65
429	25.08747	台北盆地	121.4936	1.73
430	25.09447	台北盆地	121.5227	1.75
431	25.06	台北盆地	121.5872	1.75
432	25.02128	台北盆地	121.4749	1.82
433	25.08815	台北盆地	121.4932	1.83
434	25.03299	台北盆地	121.5724	1.84
435	25.04829	台北盆地	121.5103	1.85
436	25.04503	台北盆地	121.532	1.85
437	25.04523	台北盆地	121.5325	1.93
438	25.04969	台北盆地	121.4781	1.96
439	24.97403	台北盆地	121.4445	2.04
440	25.0476	台北盆地	121.558	2.05
441	25.0605	台北盆地	121.5881	2.06
442	25.06369	台北盆地	121.4838	2.09
443	25.00888	台北盆地	121.4993	2.1
444	24.99511	台北盆地	121.5016	2.13
445	25.08168	台北盆地	121.57	2.18
446	24.98039	台北盆地	121.5538	2.2
447	25.04759	台北盆地	121.5103	2.24
448	25.03312	台北盆地	121.5473	2.24
449	25.04616	台北盆地	121.4601	2.25
450	25.02544	台北盆地	121.481	2.25
451	25.05121	台北盆地	121.5643	2.28
452	25.05448	台北盆地	121.6167	2.31
453	25.02044	台北盆地	121.5075	2.35
454	25.00408	台北盆地	121.4302	2.36
455	25.00885	台北盆地	121.4909	2.36
456	25.07813	台北盆地	121.4838	2.41
457	25.01069	台北盆地	121.4892	2.43
458	25.047	台北盆地	121.56	2.44
459	25.04801	台北盆地	121.5602	2.47
460	25.0155	台北盆地	121.4671	2.48
461	25.00784	台北盆地	121.4934	2.49
462	25.0335	台北盆地	121.4407	2.51
463	25.08765	台北盆地	121.4835	2.53
464	25.03368	台北盆地	121.5019	2.53
465	25.04844	台北盆地	121.5599	2.55
466	25.03297	台北盆地	121.571	2.58
467	24.98112	台北盆地	121.4651	2.59
468	25.08528	台北盆地	121.4815	2.59
469	25.05862	台北盆地	121.6212	2.63
470	25.00364	台北盆地	121.4247	2.66
471	25.00678	台北盆地	121.4873	2.68
472	25.08605	台北盆地	121.4566	2.71
